Block Name,Block Offset,Register Name,Register Offset,Access Mode(RW/RO/WO/W1C/W1T/W1S),Repeat,Register Description,Field,Bits,Access Type(RW/RO/WO/W1C/W1T/W1S),Reset Value,HDL Path,Field Description,Write Out
control,0x00000000,,,,,,,,,,,,
,,PCIEPHY_CTRL_0,0x0,RW,,,,,,,,,
,,,,,,,pipe_lane15_ropll_freq_mode,31,RW,0x0,,,
,,,,,,,pipe_lane14_ropll_freq_mode,30,RW,0x0,,,
,,,,,,,pipe_lane13_ropll_freq_mode,29,RW,0x0,,,
,,,,,,,pipe_lane12_ropll_freq_mode,28,RW,0x0,,,
,,,,,,,pipe_lane11_ropll_freq_mode,27,RW,0x0,,,
,,,,,,,pipe_lane10_ropll_freq_mode,26,RW,0x0,,,
,,,,,,,pipe_lane9_ropll_freq_mode,25,RW,0x0,,,
,,,,,,,pipe_lane8_ropll_freq_mode,24,RW,0x0,,,
,,,,,,,pipe_lane7_ropll_freq_mode,23,RW,0x0,,,
,,,,,,,pipe_lane6_ropll_freq_mode,22,RW,0x0,,,
,,,,,,,pipe_lane5_ropll_freq_mode,21,RW,0x0,,,
,,,,,,,pipe_lane4_ropll_freq_mode,20,RW,0x0,,,
,,,,,,,pipe_lane3_ropll_freq_mode,19,RW,0x0,,,
,,,,,,,pipe_lane2_ropll_freq_mode,18,RW,0x0,,,
,,,,,,,pipe_lane1_ropll_freq_mode,17,RW,0x0,,,
,,,,,,,pipe_lane0_ropll_freq_mode,16,RW,0x0,,,
,,,,,,,pipe_lane15_tx2rx_loopbk,15,RW,0x0,,,
,,,,,,,pipe_lane14_tx2rx_loopbk,14,RW,0x0,,,
,,,,,,,pipe_lane13_tx2rx_loopbk,13,RW,0x0,,,
,,,,,,,pipe_lane12_tx2rx_loopbk,12,RW,0x0,,,
,,,,,,,pipe_lane11_tx2rx_loopbk,11,RW,0x0,,,
,,,,,,,pipe_lane10_tx2rx_loopbk,10,RW,0x0,,,
,,,,,,,pipe_lane9_tx2rx_loopbk,9,RW,0x0,,,
,,,,,,,pipe_lane8_tx2rx_loopbk,8,RW,0x0,,,
,,,,,,,pipe_lane7_tx2rx_loopbk,7,RW,0x0,,,
,,,,,,,pipe_lane6_tx2rx_loopbk,6,RW,0x0,,,
,,,,,,,pipe_lane5_tx2rx_loopbk,5,RW,0x0,,,
,,,,,,,pipe_lane4_tx2rx_loopbk,4,RW,0x0,,,
,,,,,,,pipe_lane3_tx2rx_loopbk,3,RW,0x0,,,
,,,,,,,pipe_lane2_tx2rx_loopbk,2,RW,0x0,,,
,,,,,,,pipe_lane1_tx2rx_loopbk,1,RW,0x0,,,
,,,,,,,pipe_lane0_tx2rx_loopbk,0,RW,0x0,,,
,,PCIEPHY_CTRL_1,0x4,RW,,,,,,,,,
,,,,,,,pipe_rx15_es_mode,31,RW,0x0,,,
,,,,,,,pipe_rx14_es_mode,30,RW,0x0,,,
,,,,,,,pipe_rx13_es_mode,29,RW,0x0,,,
,,,,,,,pipe_rx12_es_mode,28,RW,0x0,,,
,,,,,,,pipe_rx11_es_mode,27,RW,0x0,,,
,,,,,,,pipe_rx10_es_mode,26,RW,0x0,,,
,,,,,,,pipe_rx9_es_mode,25,RW,0x0,,,
,,,,,,,pipe_rx8_es_mode,24,RW,0x0,,,
,,,,,,,pipe_rx7_es_mode,23,RW,0x0,,,
,,,,,,,pipe_rx6_es_mode,22,RW,0x0,,,
,,,,,,,pipe_rx5_es_mode,21,RW,0x0,,,
,,,,,,,pipe_rx4_es_mode,20,RW,0x0,,,
,,,,,,,pipe_rx3_es_mode,19,RW,0x0,,,
,,,,,,,pipe_rx2_es_mode,18,RW,0x0,,,
,,,,,,,pipe_rx1_es_mode,17,RW,0x0,,,
,,,,,,,pipe_rx0_es_mode,16,RW,0x0,,,
,,,,,,,pipe_rx15_termination,15,RW,0x1,,,
,,,,,,,pipe_rx14_termination,14,RW,0x1,,,
,,,,,,,pipe_rx13_termination,13,RW,0x1,,,
,,,,,,,pipe_rx12_termination,12,RW,0x1,,,
,,,,,,,pipe_rx11_termination,11,RW,0x1,,,
,,,,,,,pipe_rx10_termination,10,RW,0x1,,,
,,,,,,,pipe_rx9_termination,9,RW,0x1,,,
,,,,,,,pipe_rx8_termination,8,RW,0x1,,,
,,,,,,,pipe_rx7_termination,7,RW,0x1,,,
,,,,,,,pipe_rx6_termination,6,RW,0x1,,,
,,,,,,,pipe_rx5_termination,5,RW,0x1,,,
,,,,,,,pipe_rx4_termination,4,RW,0x1,,,
,,,,,,,pipe_rx3_termination,3,RW,0x1,,,
,,,,,,,pipe_rx2_termination,2,RW,0x1,,,
,,,,,,,pipe_rx1_termination,1,RW,0x1,,,
,,,,,,,pipe_rx0_termination,0,RW,0x1,,,
,,PCIEPHY_CTRL_2,0x8,RO,,,,,,,,,
,,,,,,,pipe_lane15_databuswidth,31:30,RO,0x0,,,
,,,,,,,pipe_lane14_databuswidth,29:28,RO,0x0,,,
,,,,,,,pipe_lane13_databuswidth,27:26,RO,0x0,,,
,,,,,,,pipe_lane12_databuswidth,25:24,RO,0x0,,,
,,,,,,,pipe_lane11_databuswidth,23:22,RO,0x0,,,
,,,,,,,pipe_lane10_databuswidth,21:20,RO,0x0,,,
,,,,,,,pipe_lane9_databuswidth,19:18,RO,0x0,,,
,,,,,,,pipe_lane8_databuswidth,17:16,RO,0x0,,,
,,,,,,,pipe_lane7_databuswidth,15:14,RO,0x0,,,
,,,,,,,pipe_lane6_databuswidth,13:12,RO,0x0,,,
,,,,,,,pipe_lane5_databuswidth,11:10,RO,0x0,,,
,,,,,,,pipe_lane4_databuswidth,9:8,RO,0x0,,,
,,,,,,,pipe_lane3_databuswidth,7:6,RO,0x0,,,
,,,,,,,pipe_lane2_databuswidth,5:4,RO,0x0,,,
,,,,,,,pipe_lane1_databuswidth,3:2,RO,0x0,,,
,,,,,,,pipe_lane0_databuswidth,1:0,RO,0x0,,,
,,PCIEPHY_CTRL_3,0xc,RW,,,,,,,,,
,,,,,,,pipe_lane_cmn_refclk_mode,25,RW,0x1,,,
,,,,,,,max_pclk_div_ratio_g5,24:20,RW,0x1,,,
,,,,,,,max_pclk_div_ratio_g4,19:15,RW,0x2,,,
,,,,,,,max_pclk_div_ratio_g3,14:10,RW,0x4,,,
,,,,,,,max_pclk_div_ratio_g2,9:5,RW,0x4,,,
,,,,,,,max_pclk_div_ratio_g1,4:0,RW,0x8,,,
,,PCIEPHY_CTRL_4,0x10,RW,,,,,,,,,
,,,,,,,phy0_fw_clk_range,31:28,RW,0x3,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy0_refb_clkdet_en,26,RW,0x0,,,
,,,,,,,phy0_refb_clk_sel,25:24,RW,0x1,,,
,,,,,,,reserved,23,RW,0x0,,,
,,,,,,,phy0_refa_clkdet_en,22,RW,0x0,,,
,,,,,,,phy0_refa_clk_sel,21:20,RW,0x1,,,
,,,,,,,phy0_ref_repeat_clk_sel,19:18,RW,0x1,,,
,,,,,,,phy0_ref_repeat_clk_en,17,RW,0x1,,,
,,,,,,,phy0_refb_lane_clk_en,16,RW,0x1,,,
,,,,,,,phy0_refa_lane_clk_en,15,RW,0x1,,,
,,,,,,,phy0_mpllb_word_clk_en,14,RW,0x1,,,
,,,,,,,reserved,13,RW,0x0,,,
,,,,,,,phy0_mpllb_ssc_en,12,RW,0x0,,,
,,,,,,,phy0_mpllb_short_lock_en,11,RW,0x0,,,
,,,,,,,phy0_mpllb_force_en,10,RW,0x0,,,
,,,,,,,reserved,9,RW,0x0,,,
,,,,,,,phy0_mplla_word_clk_en,8,RW,0x1,,,
,,,,,,,reserved,7,RW,0x0,,,
,,,,,,,phy0_mplla_ssc_en,6,RW,0x0,,,
,,,,,,,phy0_mplla_short_lock_en,5,RW,0x0,,,
,,,,,,,phy0_mplla_force_en,4,RW,0x0,,,
,,,,,,,reserved,3,RW,0x0,,,
,,,,,,,phy0_cr_para_sel,2,RW,0x1,,,
,,,,,,,reserved,1,RW,0x0,,,
,,,,,,,reserved,0,RW,0x0,,,
,,PCIEPHY_CTRL_5,0x14,RW,,,,,,,,,
,,,,,,,phy0_refb_raw_clk_div2_en,31,RW,0x0,,,
,,,,,,,phy0_refb_clk_div2_en,30,RW,0x0,,,
,,,,,,,phy0_refa_raw_clk_div2_en,29,RW,0x0,,,
,,,,,,,phy0_refa_clk_div2_en,28,RW,0x0,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy0_sram_ext_ld_done,26,RW,0x0,,,
,,,,,,,phy0_sram_ecc_en,25,RW,0x0,,,
,,,,,,,phy0_sram_bypass,24,RW,0x1,,,
,,,,,,,phy0_sram_bootload_bypass,23,RW,0x1,,,
,,,,,,,phy0_txup_term_offset,22:14,RW,0x0,,,
,,,,,,,phy0_txdn_term_offset,13:5,RW,0x0,,,
,,,,,,,phy0_rx_term_offset,4:0,RW,0x0,,,
,,PCIEPHY_CTRL_6,0x18,RW,,,,,,,,,
,,,,,,,phy0_sup_misc,30:7,RW,0x0,,,
,,,,,,,phy0_refb_range,7:4,RW,0x3,,,
,,,,,,,phy0_refa_range,3:0,RW,0x3,,,
,,PCIEPHY_CTRL_7,0x1c,RW,,,,,,,,,
,,,,,,,phy1_fw_clk_range,31:28,RW,0x3,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy1_refb_clkdet_en,26,RW,0x0,,,
,,,,,,,phy1_refb_clk_sel,25:24,RW,0x1,,,
,,,,,,,reserved,23,RW,0x0,,,
,,,,,,,phy1_refa_clkdet_en,22,RW,0x0,,,
,,,,,,,phy1_refa_clk_sel,21:20,RW,0x1,,,
,,,,,,,phy1_ref_repeat_clk_sel,19:18,RW,0x1,,,
,,,,,,,phy1_ref_repeat_clk_en,17,RW,0x1,,,
,,,,,,,phy1_refb_lane_clk_en,16,RW,0x1,,,
,,,,,,,phy1_refa_lane_clk_en,15,RW,0x1,,,
,,,,,,,phy1_mpllb_word_clk_en,14,RW,0x1,,,
,,,,,,,reserved,13,RW,0x0,,,
,,,,,,,phy1_mpllb_ssc_en,12,RW,0x0,,,
,,,,,,,phy1_mpllb_short_lock_en,11,RW,0x0,,,
,,,,,,,phy1_mpllb_force_en,10,RW,0x0,,,
,,,,,,,reserved,9,RW,0x0,,,
,,,,,,,phy1_mplla_word_clk_en,8,RW,0x1,,,
,,,,,,,reserved,7,RW,0x0,,,
,,,,,,,phy1_mplla_ssc_en,6,RW,0x0,,,
,,,,,,,phy1_mplla_short_lock_en,5,RW,0x0,,,
,,,,,,,phy1_mplla_force_en,4,RW,0x0,,,
,,,,,,,reserved,3,RW,0x0,,,
,,,,,,,phy1_cr_para_sel,2,RW,0x1,,,
,,,,,,,reserved,1,RW,0x0,,,
,,,,,,,reserved,0,RW,0x0,,,
,,PCIEPHY_CTRL_8,0x20,RW,,,,,,,,,
,,,,,,,phy1_refb_raw_clk_div2_en,31,RW,0x0,,,
,,,,,,,phy1_refb_clk_div2_en,30,RW,0x0,,,
,,,,,,,phy1_refa_raw_clk_div2_en,29,RW,0x0,,,
,,,,,,,phy1_refa_clk_div2_en,28,RW,0x0,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy1_sram_ext_ld_done,26,RW,0x0,,,
,,,,,,,phy1_sram_ecc_en,25,RW,0x0,,,
,,,,,,,phy1_sram_bypass,24,RW,0x1,,,
,,,,,,,phy1_sram_bootload_bypass,23,RW,0x1,,,
,,,,,,,phy1_txup_term_offset,22:14,RW,0x0,,,
,,,,,,,phy1_txdn_term_offset,13:5,RW,0x0,,,
,,,,,,,phy1_rx_term_offset,4:0,RW,0x0,,,
,,PCIEPHY_CTRL_9,0x24,RW,,,,,,,,,
,,,,,,,phy1_sup_misc,30:7,RW,0x0,,,
,,,,,,,phy1_refb_range,7:4,RW,0x3,,,
,,,,,,,phy1_refa_range,3:0,RW,0x3,,,
,,PCIEPHY_CTRL_10,0x28,RW,,,,,,,,,
,,,,,,,phy2_fw_clk_range,31:28,RW,0x3,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy2_refb_clkdet_en,26,RW,0x0,,,
,,,,,,,phy2_refb_clk_sel,25:24,RW,0x1,,,
,,,,,,,reserved,23,RW,0x0,,,
,,,,,,,phy2_refa_clkdet_en,22,RW,0x0,,,
,,,,,,,phy2_refa_clk_sel,21:20,RW,0x1,,,
,,,,,,,phy2_ref_repeat_clk_sel,19:18,RW,0x1,,,
,,,,,,,phy2_ref_repeat_clk_en,17,RW,0x1,,,
,,,,,,,phy2_refb_lane_clk_en,16,RW,0x1,,,
,,,,,,,phy2_refa_lane_clk_en,15,RW,0x1,,,
,,,,,,,phy2_mpllb_word_clk_en,14,RW,0x1,,,
,,,,,,,reserved,13,RW,0x0,,,
,,,,,,,phy2_mpllb_ssc_en,12,RW,0x0,,,
,,,,,,,phy2_mpllb_short_lock_en,11,RW,0x0,,,
,,,,,,,phy2_mpllb_force_en,10,RW,0x0,,,
,,,,,,,reserved,9,RW,0x0,,,
,,,,,,,phy2_mplla_word_clk_en,8,RW,0x1,,,
,,,,,,,reserved,7,RW,0x0,,,
,,,,,,,phy2_mplla_ssc_en,6,RW,0x0,,,
,,,,,,,phy2_mplla_short_lock_en,5,RW,0x0,,,
,,,,,,,phy2_mplla_force_en,4,RW,0x0,,,
,,,,,,,reserved,3,RW,0x0,,,
,,,,,,,phy2_cr_para_sel,2,RW,0x1,,,
,,,,,,,reserved,1,RW,0x0,,,
,,,,,,,reserved,0,RW,0x0,,,
,,PCIEPHY_CTRL_11,0x2c,RW,,,,,,,,,
,,,,,,,phy2_refb_raw_clk_div2_en,31,RW,0x0,,,
,,,,,,,phy2_refb_clk_div2_en,30,RW,0x0,,,
,,,,,,,phy2_refa_raw_clk_div2_en,29,RW,0x0,,,
,,,,,,,phy2_refa_clk_div2_en,28,RW,0x0,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy2_sram_ext_ld_done,26,RW,0x0,,,
,,,,,,,phy2_sram_ecc_en,25,RW,0x0,,,
,,,,,,,phy2_sram_bypass,24,RW,0x1,,,
,,,,,,,phy2_sram_bootload_bypass,23,RW,0x1,,,
,,,,,,,phy2_txup_term_offset,22:14,RW,0x0,,,
,,,,,,,phy2_txdn_term_offset,13:5,RW,0x0,,,
,,,,,,,phy2_rx_term_offset,4:0,RW,0x0,,,
,,PCIEPHY_CTRL_12,0x30,RW,,,,,,,,,
,,,,,,,phy2_sup_misc,30:7,RW,0x0,,,
,,,,,,,phy2_refb_range,7:4,RW,0x3,,,
,,,,,,,phy2_refa_range,3:0,RW,0x3,,,
,,PCIEPHY_CTRL_13,0x34,RW,,,,,,,,,
,,,,,,,phy3_fw_clk_range,31:28,RW,0x3,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy3_refb_clkdet_en,26,RW,0x0,,,
,,,,,,,phy3_refb_clk_sel,25:24,RW,0x1,,,
,,,,,,,reserved,23,RW,0x0,,,
,,,,,,,phy3_refa_clkdet_en,22,RW,0x0,,,
,,,,,,,phy3_refa_clk_sel,21:20,RW,0x1,,,
,,,,,,,phy3_ref_repeat_clk_sel,19:18,RW,0x1,,,
,,,,,,,phy3_ref_repeat_clk_en,17,RW,0x1,,,
,,,,,,,phy3_refb_lane_clk_en,16,RW,0x1,,,
,,,,,,,phy3_refa_lane_clk_en,15,RW,0x1,,,
,,,,,,,phy3_mpllb_word_clk_en,14,RW,0x1,,,
,,,,,,,reserved,13,RW,0x0,,,
,,,,,,,phy3_mpllb_ssc_en,12,RW,0x0,,,
,,,,,,,phy3_mpllb_short_lock_en,11,RW,0x0,,,
,,,,,,,phy3_mpllb_force_en,10,RW,0x0,,,
,,,,,,,reserved,9,RW,0x0,,,
,,,,,,,phy3_mplla_word_clk_en,8,RW,0x1,,,
,,,,,,,reserved,7,RW,0x0,,,
,,,,,,,phy3_mplla_ssc_en,6,RW,0x0,,,
,,,,,,,phy3_mplla_short_lock_en,5,RW,0x0,,,
,,,,,,,phy3_mplla_force_en,4,RW,0x0,,,
,,,,,,,reserved,3,RW,0x0,,,
,,,,,,,phy3_cr_para_sel,2,RW,0x1,,,
,,,,,,,reserved,1,RW,0x0,,,
,,,,,,,reserved,0,RW,0x0,,,
,,PCIEPHY_CTRL_14,0x38,RW,,,,,,,,,
,,,,,,,phy3_refb_raw_clk_div2_en,31,RW,0x0,,,
,,,,,,,phy3_refb_clk_div2_en,30,RW,0x0,,,
,,,,,,,phy3_refa_raw_clk_div2_en,29,RW,0x0,,,
,,,,,,,phy3_refa_clk_div2_en,28,RW,0x0,,,
,,,,,,,reserved,27,RW,0x0,,,
,,,,,,,phy3_sram_ext_ld_done,26,RW,0x0,,,
,,,,,,,phy3_sram_ecc_en,25,RW,0x0,,,
,,,,,,,phy3_sram_bypass,24,RW,0x1,,,
,,,,,,,phy3_sram_bootload_bypass,23,RW,0x1,,,
,,,,,,,phy3_txup_term_offset,22:14,RW,0x0,,,
,,,,,,,phy3_txdn_term_offset,13:5,RW,0x0,,,
,,,,,,,phy3_rx_term_offset,4:0,RW,0x0,,,
,,PCIEPHY_CTRL_15,0x3c,RW,,,,,,,,,
,,,,,,,phy3_sup_misc,30:7,RW,0x0,,,
,,,,,,,phy3_refb_range,7:4,RW,0x3,,,
,,,,,,,phy3_refa_range,3:0,RW,0x3,,,
,,PCIEPHY_CTRL_16,0x40,RW,,,,,,,,,
,,,,,,,phy_lane5_rx2tx_par_lb_en,29,RW,0x0,,,
,,,,,,,phy_lane5_refb_clk_en,28,RW,0x1,,,
,,,,,,,phy_lane5_refa_clk_en,27,RW,0x1,,,
,,,,,,,phy_lane5_ref_sel,26,RW,0x0,,,
,,,,,,,phy_lane5_cntx_en,25,RW,0x0,,,
,,,,,,,phy_lane4_rx2tx_par_lb_en,24,RW,0x0,,,
,,,,,,,phy_lane4_refb_clk_en,23,RW,0x1,,,
,,,,,,,phy_lane4_refa_clk_en,22,RW,0x1,,,
,,,,,,,phy_lane4_ref_sel,21,RW,0x0,,,
,,,,,,,phy_lane4_cntx_en,20,RW,0x0,,,
,,,,,,,phy_lane3_rx2tx_par_lb_en,19,RW,0x0,,,
,,,,,,,phy_lane3_refb_clk_en,18,RW,0x1,,,
,,,,,,,phy_lane3_refa_clk_en,17,RW,0x1,,,
,,,,,,,phy_lane3_ref_sel,16,RW,0x0,,,
,,,,,,,phy_lane3_cntx_en,15,RW,0x0,,,
,,,,,,,phy_lane2_rx2tx_par_lb_en,14,RW,0x0,,,
,,,,,,,phy_lane2_refb_clk_en,13,RW,0x1,,,
,,,,,,,phy_lane2_refa_clk_en,12,RW,0x1,,,
,,,,,,,phy_lane2_ref_sel,11,RW,0x0,,,
,,,,,,,phy_lane2_cntx_en,10,RW,0x0,,,
,,,,,,,phy_lane1_rx2tx_par_lb_en,9,RW,0x0,,,
,,,,,,,phy_lane1_refb_clk_en,8,RW,0x1,,,
,,,,,,,phy_lane1_refa_clk_en,7,RW,0x1,,,
,,,,,,,phy_lane1_ref_sel,6,RW,0x0,,,
,,,,,,,phy_lane1_cntx_en,5,RW,0x0,,,
,,,,,,,phy_lane0_rx2tx_par_lb_en,4,RW,0x0,,,
,,,,,,,phy_lane0_refb_clk_en,3,RW,0x1,,,
,,,,,,,phy_lane0_refa_clk_en,2,RW,0x1,,,
,,,,,,,phy_lane0_ref_sel,1,RW,0x0,,,
,,,,,,,phy_lane0_cntx_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_17,0x44,RW,,,,,,,,,
,,,,,,,phy_lane11_rx2tx_par_lb_en,29,RW,0x0,,,
,,,,,,,phy_lane11_refb_clk_en,28,RW,0x1,,,
,,,,,,,phy_lane11_refa_clk_en,27,RW,0x1,,,
,,,,,,,phy_lane11_ref_sel,26,RW,0x0,,,
,,,,,,,phy_lane11_cntx_en,25,RW,0x0,,,
,,,,,,,phy_lane10_rx2tx_par_lb_en,24,RW,0x0,,,
,,,,,,,phy_lane10_refb_clk_en,23,RW,0x1,,,
,,,,,,,phy_lane10_refa_clk_en,22,RW,0x1,,,
,,,,,,,phy_lane10_ref_sel,21,RW,0x0,,,
,,,,,,,phy_lane10_cntx_en,20,RW,0x0,,,
,,,,,,,phy_lane9_rx2tx_par_lb_en,19,RW,0x0,,,
,,,,,,,phy_lane9_refb_clk_en,18,RW,0x1,,,
,,,,,,,phy_lane9_refa_clk_en,17,RW,0x1,,,
,,,,,,,phy_lane9_ref_sel,16,RW,0x0,,,
,,,,,,,phy_lane9_cntx_en,15,RW,0x0,,,
,,,,,,,phy_lane8_rx2tx_par_lb_en,14,RW,0x0,,,
,,,,,,,phy_lane8_refb_clk_en,13,RW,0x1,,,
,,,,,,,phy_lane8_refa_clk_en,12,RW,0x1,,,
,,,,,,,phy_lane8_ref_sel,11,RW,0x0,,,
,,,,,,,phy_lane8_cntx_en,10,RW,0x0,,,
,,,,,,,phy_lane7_rx2tx_par_lb_en,9,RW,0x0,,,
,,,,,,,phy_lane7_refb_clk_en,8,RW,0x1,,,
,,,,,,,phy_lane7_refa_clk_en,7,RW,0x1,,,
,,,,,,,phy_lane7_ref_sel,6,RW,0x0,,,
,,,,,,,phy_lane7_cntx_en,5,RW,0x0,,,
,,,,,,,phy_lane6_rx2tx_par_lb_en,4,RW,0x0,,,
,,,,,,,phy_lane6_refb_clk_en,3,RW,0x1,,,
,,,,,,,phy_lane6_refa_clk_en,2,RW,0x1,,,
,,,,,,,phy_lane6_ref_sel,1,RW,0x0,,,
,,,,,,,phy_lane6_cntx_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_18,0x48,RW,,,,,,,,,
,,,,,,,phy_tx_protocol_family_id,27:24,RW,0x1,,,
,,,,,,,phy_rx_protocol_family_id,23:20,RW,0x1,,,
,,,,,,,phy_lane15_rx2tx_par_lb_en,19,RW,0x0,,,
,,,,,,,phy_lane15_refb_clk_en,18,RW,0x1,,,
,,,,,,,phy_lane15_refa_clk_en,17,RW,0x1,,,
,,,,,,,phy_lane15_ref_sel,16,RW,0x0,,,
,,,,,,,phy_lane15_cntx_en,15,RW,0x0,,,
,,,,,,,phy_lane14_rx2tx_par_lb_en,14,RW,0x0,,,
,,,,,,,phy_lane14_refb_clk_en,13,RW,0x1,,,
,,,,,,,phy_lane14_refa_clk_en,12,RW,0x1,,,
,,,,,,,phy_lane14_ref_sel,11,RW,0x0,,,
,,,,,,,phy_lane14_cntx_en,10,RW,0x0,,,
,,,,,,,phy_lane13_rx2tx_par_lb_en,9,RW,0x0,,,
,,,,,,,phy_lane13_refb_clk_en,8,RW,0x1,,,
,,,,,,,phy_lane13_refa_clk_en,7,RW,0x1,,,
,,,,,,,phy_lane13_ref_sel,6,RW,0x0,,,
,,,,,,,phy_lane13_cntx_en,5,RW,0x0,,,
,,,,,,,phy_lane12_rx2tx_par_lb_en,4,RW,0x0,,,
,,,,,,,phy_lane12_refb_clk_en,3,RW,0x1,,,
,,,,,,,phy_lane12_refa_clk_en,2,RW,0x1,,,
,,,,,,,phy_lane12_ref_sel,1,RW,0x0,,,
,,,,,,,phy_lane12_cntx_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_19,0x4c,RW,,,,,,,,,
,,,,,,,phy_rx0_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_20,0x50,RW,,,,,,,,,
,,,,,,,phy_rx0_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx0_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx0_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx0_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_21,0x54,RW,,,,,,,,,
,,,,,,,phy_rx1_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_22,0x58,RW,,,,,,,,,
,,,,,,,phy_rx1_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx1_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx1_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx1_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_23,0x5c,RW,,,,,,,,,
,,,,,,,phy_rx2_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_24,0x60,RW,,,,,,,,,
,,,,,,,phy_rx2_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx2_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx2_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx2_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_25,0x64,RW,,,,,,,,,
,,,,,,,phy_rx3_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_26,0x68,RW,,,,,,,,,
,,,,,,,phy_rx3_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx3_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx3_cntx_sel_g3,15:8,RW,0x0,,,
