Block Name,Block Offset,Register Name,Register Offset,Access Mode(RW/RO/WO/W1C/W1T/W1S),Repeat,Register Description,Field,Bits,Access Type(RW/RO/WO/W1C/W1T/W1S),Reset Value,HDL Path,Field Description,Write Out
,,,,,,,phy_rx3_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_27,0x6c,RW,,,,,,,,,
,,,,,,,phy_rx4_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_28,0x70,RW,,,,,,,,,
,,,,,,,phy_rx4_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx4_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx4_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx4_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_29,0x74,RW,,,,,,,,,
,,,,,,,phy_rx5_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_30,0x78,RW,,,,,,,,,
,,,,,,,phy_rx5_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx5_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx5_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx5_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_31,0x7c,RW,,,,,,,,,
,,,,,,,phy_rx6_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_32,0x80,RW,,,,,,,,,
,,,,,,,phy_rx6_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx6_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx6_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx6_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_33,0x84,RW,,,,,,,,,
,,,,,,,phy_rx7_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_34,0x88,RW,,,,,,,,,
,,,,,,,phy_rx7_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx7_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx7_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx7_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_35,0x8c,RW,,,,,,,,,
,,,,,,,phy_rx8_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_36,0x90,RW,,,,,,,,,
,,,,,,,phy_rx8_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx8_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx8_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx8_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_37,0x94,RW,,,,,,,,,
,,,,,,,phy_rx9_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_38,0x98,RW,,,,,,,,,
,,,,,,,phy_rx9_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx9_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx9_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx9_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_39,0x9c,RW,,,,,,,,,
,,,,,,,phy_rx10_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_40,0xa0,RW,,,,,,,,,
,,,,,,,phy_rx10_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx10_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx10_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx10_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_41,0xa4,RW,,,,,,,,,
,,,,,,,phy_rx11_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_42,0xa8,RW,,,,,,,,,
,,,,,,,phy_rx11_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx11_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx11_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx11_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_43,0xac,RW,,,,,,,,,
,,,,,,,phy_rx12_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_44,0xb0,RW,,,,,,,,,
,,,,,,,phy_rx12_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx12_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx12_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx12_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_45,0xb4,RW,,,,,,,,,
,,,,,,,phy_rx13_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_46,0xb8,RW,,,,,,,,,
,,,,,,,phy_rx13_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx13_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx13_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx13_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_47,0xbc,RW,,,,,,,,,
,,,,,,,phy_rx14_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_48,0xc0,RW,,,,,,,,,
,,,,,,,phy_rx14_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx14_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx14_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx14_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_49,0xc4,RW,,,,,,,,,
,,,,,,,phy_rx15_cntx_sel_g1,13:6,RW,0x0,,,
,,,,,,,reserved,5:0,RW,0x1,,,
,,PCIEPHY_CTRL_50,0xc8,RW,,,,,,,,,
,,,,,,,phy_rx15_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_rx15_cntx_sel_g4,23:16,RW,0x0,,,
,,,,,,,phy_rx15_cntx_sel_g3,15:8,RW,0x0,,,
,,,,,,,phy_rx15_cntx_sel_g2,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_51,0xcc,RW,,,,,,,,,
,,,,,,,phy_tx_cmn0_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn0_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn0_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn0_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_52,0xd0,RW,,,,,,,,,
,,,,,,,phy_tx0_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx0_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx0_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx0_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_53,0xd4,RW,,,,,,,,,
,,,,,,,phy_tx_cmn1_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn1_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn1_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn1_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_54,0xd8,RW,,,,,,,,,
,,,,,,,phy_tx1_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx1_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx1_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx1_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_55,0xdc,RW,,,,,,,,,
,,,,,,,phy_tx_cmn2_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn2_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn2_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn2_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_56,0xe0,RW,,,,,,,,,
,,,,,,,phy_tx2_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx2_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx2_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx2_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_57,0xe4,RW,,,,,,,,,
,,,,,,,phy_tx_cmn3_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn3_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn3_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn3_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_58,0xe8,RW,,,,,,,,,
,,,,,,,phy_tx3_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx3_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx3_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx3_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_59,0xec,RW,,,,,,,,,
,,,,,,,phy_tx_cmn4_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn4_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn4_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn4_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_60,0xf0,RW,,,,,,,,,
,,,,,,,phy_tx4_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx4_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx4_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx4_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_61,0xf4,RW,,,,,,,,,
,,,,,,,phy_tx_cmn5_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn5_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn5_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn5_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_62,0xf8,RW,,,,,,,,,
,,,,,,,phy_tx5_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx5_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx5_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx5_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_63,0xfc,RW,,,,,,,,,
,,,,,,,phy_tx_cmn6_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn6_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn6_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn6_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_64,0x100,RW,,,,,,,,,
,,,,,,,phy_tx6_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx6_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx6_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx6_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_65,0x104,RW,,,,,,,,,
,,,,,,,phy_tx_cmn7_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn7_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn7_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn7_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_66,0x108,RW,,,,,,,,,
,,,,,,,phy_tx7_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx7_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx7_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx7_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_67,0x10c,RW,,,,,,,,,
,,,,,,,phy_tx_cmn8_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn8_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn8_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn8_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_68,0x110,RW,,,,,,,,,
,,,,,,,phy_tx8_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx8_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx8_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx8_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_69,0x114,RW,,,,,,,,,
,,,,,,,phy_tx_cmn9_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn9_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn9_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn9_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_70,0x118,RW,,,,,,,,,
,,,,,,,phy_tx9_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx9_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx9_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx9_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_71,0x11c,RW,,,,,,,,,
,,,,,,,phy_tx_cmn10_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn10_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn10_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn10_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_72,0x120,RW,,,,,,,,,
,,,,,,,phy_tx10_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx10_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx10_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx10_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_73,0x124,RW,,,,,,,,,
,,,,,,,phy_tx_cmn11_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn11_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn11_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn11_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_74,0x128,RW,,,,,,,,,
,,,,,,,phy_tx11_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx11_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx11_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx11_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_75,0x12c,RW,,,,,,,,,
,,,,,,,phy_tx_cmn12_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn12_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn12_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn12_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_76,0x130,RW,,,,,,,,,
,,,,,,,phy_tx12_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx12_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx12_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx12_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_77,0x134,RW,,,,,,,,,
,,,,,,,phy_tx_cmn13_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn13_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn13_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn13_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_78,0x138,RW,,,,,,,,,
,,,,,,,phy_tx13_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx13_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx13_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx13_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_79,0x13c,RW,,,,,,,,,
,,,,,,,phy_tx_cmn14_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn14_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn14_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn14_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_80,0x140,RW,,,,,,,,,
,,,,,,,phy_tx14_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx14_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx14_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx14_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_81,0x144,RW,,,,,,,,,
,,,,,,,phy_tx_cmn15_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn15_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn15_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn15_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_82,0x148,RW,,,,,,,,,
,,,,,,,phy_tx15_cntx_sel_g4,31:24,RW,0x0,,,
,,,,,,,phy_tx15_cntx_sel_g3,23:16,RW,0x0,,,
,,,,,,,phy_tx15_cntx_sel_g2,15:8,RW,0x0,,,
,,,,,,,phy_tx15_cntx_sel_g1,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_83,0x14c,RW,,,,,,,,,
,,,,,,,phy_tx_cmn3_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn2_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn1_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn0_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_84,0x150,RW,,,,,,,,,
,,,,,,,phy_tx_cmn7_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn6_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn5_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn4_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_85,0x154,RW,,,,,,,,,
,,,,,,,phy_tx_cmn11_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn10_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn9_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn8_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_86,0x158,RW,,,,,,,,,
,,,,,,,phy_tx_cmn15_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx_cmn14_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx_cmn13_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx_cmn12_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_87,0x15c,RW,,,,,,,,,
,,,,,,,phy_tx3_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx2_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx1_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx0_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_88,0x160,RW,,,,,,,,,
,,,,,,,phy_tx7_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx6_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx5_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx4_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_89,0x164,RW,,,,,,,,,
,,,,,,,phy_tx11_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx10_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx9_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx8_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_90,0x168,RW,,,,,,,,,
,,,,,,,phy_tx15_cntx_sel_g5,31:24,RW,0x0,,,
,,,,,,,phy_tx14_cntx_sel_g5,23:16,RW,0x0,,,
,,,,,,,phy_tx13_cntx_sel_g5,15:8,RW,0x0,,,
,,,,,,,phy_tx12_cntx_sel_g5,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_91,0x16c,RW,,,,,,,,,
,,,,,,,upcs_pipe_config,15:0,RW,0x1,,,
,,PCIEPHY_CTRL_92,0x170,RW,,,,,,,,,
,,,,,,,pipe_lane1_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane1_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane1_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane1_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane1_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane0_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane0_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane0_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane0_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane0_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_93,0x174,RW,,,,,,,,,
,,,,,,,pipe_lane3_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane3_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane3_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane3_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane3_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane2_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane2_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane2_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane2_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane2_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_94,0x178,RW,,,,,,,,,
,,,,,,,pipe_lane5_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane5_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane5_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane5_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane5_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane4_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane4_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane4_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane4_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane4_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_95,0x17c,RW,,,,,,,,,
,,,,,,,pipe_lane7_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane7_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane7_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane7_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane7_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane6_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane6_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane6_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane6_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane6_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_96,0x180,RW,,,,,,,,,
,,,,,,,pipe_lane9_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane9_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane9_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane9_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane9_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane8_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane8_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane8_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane8_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane8_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_97,0x184,RW,,,,,,,,,
,,,,,,,pipe_lane11_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane11_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane11_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane11_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane11_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane10_destruct_rxmargin_mode,11,RW,0x0,,,
