Block Name,Block Offset,Register Name,Register Offset,Access Mode(RW/RO/WO/W1C/W1T/W1S),Repeat,Register Description,Field,Bits,Access Type(RW/RO/WO/W1C/W1T/W1S),Reset Value,HDL Path,Field Description,Write Out
,,,,,,,pipe_lane10_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane10_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane10_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane10_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_98,0x188,RW,,,,,,,,,
,,,,,,,pipe_lane13_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane13_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane13_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane13_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane13_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane12_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane12_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane12_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane12_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane12_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_99,0x18c,RW,,,,,,,,,
,,,,,,,pipe_lane15_destruct_rxmargin_mode,23,RW,0x0,,,
,,,,,,,pipe_lane15_ext_pll_mode,22,RW,0x0,,,
,,,,,,,pipe_lane15_lanepll_src_sel,21:18,RW,0x0,,,
,,,,,,,pipe_lane15_lanepll_bypass_mode,17:13,RW,0x1f,,,
,,,,,,,pipe_lane15_cascaded_mpllb_sel,12,RW,0x0,,,
,,,,,,,pipe_lane14_destruct_rxmargin_mode,11,RW,0x0,,,
,,,,,,,pipe_lane14_ext_pll_mode,10,RW,0x0,,,
,,,,,,,pipe_lane14_lanepll_src_sel,9:6,RW,0x0,,,
,,,,,,,pipe_lane14_lanepll_bypass_mode,5:1,RW,0x1f,,,
,,,,,,,pipe_lane14_cascaded_mpllb_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_100,0x190,RW,,,,,,,,,
,,,,,,,pipe_rx2_eq_training,29,RW,0x0,,,
,,,,,,,pipe_rx2_rec_ovrd_non8b10b_uoflow,28:27,RW,0x0,,,
,,,,,,,pipe_rx2_rec_ovrd_non8b10b_decerr,26:25,RW,0x0,,,
,,,,,,,pipe_rx2_rec_ovrd_8b10b_uoflow,24:23,RW,0x0,,,
,,,,,,,pipe_rx2_rec_ovrd_8b10b_decerr,22:21,RW,0x0,,,
,,,,,,,pipe_rx2_rec_ovrd_en,20,RW,0x0,,,
,,,,,,,pipe_rx1_eq_training,19,RW,0x0,,,
,,,,,,,pipe_rx1_rec_ovrd_non8b10b_uoflow,18:17,RW,0x0,,,
,,,,,,,pipe_rx1_rec_ovrd_non8b10b_decerr,16:15,RW,0x0,,,
,,,,,,,pipe_rx1_rec_ovrd_8b10b_uoflow,14:13,RW,0x0,,,
,,,,,,,pipe_rx1_rec_ovrd_8b10b_decerr,12:11,RW,0x0,,,
,,,,,,,pipe_rx1_rec_ovrd_en,10,RW,0x0,,,
,,,,,,,pipe_rx0_eq_training,9,RW,0x0,,,
,,,,,,,pipe_rx0_rec_ovrd_non8b10b_uoflow,8:7,RW,0x0,,,
,,,,,,,pipe_rx0_rec_ovrd_non8b10b_decerr,6:5,RW,0x0,,,
,,,,,,,pipe_rx0_rec_ovrd_8b10b_uoflow,4:3,RW,0x0,,,
,,,,,,,pipe_rx0_rec_ovrd_8b10b_decerr,2:1,RW,0x0,,,
,,,,,,,pipe_rx0_rec_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_101,0x194,RW,,,,,,,,,
,,,,,,,pipe_rx5_eq_training,29,RW,0x0,,,
,,,,,,,pipe_rx5_rec_ovrd_non8b10b_uoflow,28:27,RW,0x0,,,
,,,,,,,pipe_rx5_rec_ovrd_non8b10b_decerr,26:25,RW,0x0,,,
,,,,,,,pipe_rx5_rec_ovrd_8b10b_uoflow,24:23,RW,0x0,,,
,,,,,,,pipe_rx5_rec_ovrd_8b10b_decerr,22:21,RW,0x0,,,
,,,,,,,pipe_rx5_rec_ovrd_en,20,RW,0x0,,,
,,,,,,,pipe_rx4_eq_training,19,RW,0x0,,,
,,,,,,,pipe_rx4_rec_ovrd_non8b10b_uoflow,18:17,RW,0x0,,,
,,,,,,,pipe_rx4_rec_ovrd_non8b10b_decerr,16:15,RW,0x0,,,
,,,,,,,pipe_rx4_rec_ovrd_8b10b_uoflow,14:13,RW,0x0,,,
,,,,,,,pipe_rx4_rec_ovrd_8b10b_decerr,12:11,RW,0x0,,,
,,,,,,,pipe_rx4_rec_ovrd_en,10,RW,0x0,,,
,,,,,,,pipe_rx3_eq_training,9,RW,0x0,,,
,,,,,,,pipe_rx3_rec_ovrd_non8b10b_uoflow,8:7,RW,0x0,,,
,,,,,,,pipe_rx3_rec_ovrd_non8b10b_decerr,6:5,RW,0x0,,,
,,,,,,,pipe_rx3_rec_ovrd_8b10b_uoflow,4:3,RW,0x0,,,
,,,,,,,pipe_rx3_rec_ovrd_8b10b_decerr,2:1,RW,0x0,,,
,,,,,,,pipe_rx3_rec_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_102,0x198,RW,,,,,,,,,
,,,,,,,pipe_rx8_eq_training,29,RW,0x0,,,
,,,,,,,pipe_rx8_rec_ovrd_non8b10b_uoflow,28:27,RW,0x0,,,
,,,,,,,pipe_rx8_rec_ovrd_non8b10b_decerr,26:25,RW,0x0,,,
,,,,,,,pipe_rx8_rec_ovrd_8b10b_uoflow,24:23,RW,0x0,,,
,,,,,,,pipe_rx8_rec_ovrd_8b10b_decerr,22:21,RW,0x0,,,
,,,,,,,pipe_rx8_rec_ovrd_en,20,RW,0x0,,,
,,,,,,,pipe_rx7_eq_training,19,RW,0x0,,,
,,,,,,,pipe_rx7_rec_ovrd_non8b10b_uoflow,18:17,RW,0x0,,,
,,,,,,,pipe_rx7_rec_ovrd_non8b10b_decerr,16:15,RW,0x0,,,
,,,,,,,pipe_rx7_rec_ovrd_8b10b_uoflow,14:13,RW,0x0,,,
,,,,,,,pipe_rx7_rec_ovrd_8b10b_decerr,12:11,RW,0x0,,,
,,,,,,,pipe_rx7_rec_ovrd_en,10,RW,0x0,,,
,,,,,,,pipe_rx6_eq_training,9,RW,0x0,,,
,,,,,,,pipe_rx6_rec_ovrd_non8b10b_uoflow,8:7,RW,0x0,,,
,,,,,,,pipe_rx6_rec_ovrd_non8b10b_decerr,6:5,RW,0x0,,,
,,,,,,,pipe_rx6_rec_ovrd_8b10b_uoflow,4:3,RW,0x0,,,
,,,,,,,pipe_rx6_rec_ovrd_8b10b_decerr,2:1,RW,0x0,,,
,,,,,,,pipe_rx6_rec_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_103,0x19c,RW,,,,,,,,,
,,,,,,,pipe_rx11_eq_training,29,RW,0x0,,,
,,,,,,,pipe_rx11_rec_ovrd_non8b10b_uoflow,28:27,RW,0x0,,,
,,,,,,,pipe_rx11_rec_ovrd_non8b10b_decerr,26:25,RW,0x0,,,
,,,,,,,pipe_rx11_rec_ovrd_8b10b_uoflow,24:23,RW,0x0,,,
,,,,,,,pipe_rx11_rec_ovrd_8b10b_decerr,22:21,RW,0x0,,,
,,,,,,,pipe_rx11_rec_ovrd_en,20,RW,0x0,,,
,,,,,,,pipe_rx10_eq_training,19,RW,0x0,,,
,,,,,,,pipe_rx10_rec_ovrd_non8b10b_uoflow,18:17,RW,0x0,,,
,,,,,,,pipe_rx10_rec_ovrd_non8b10b_decerr,16:15,RW,0x0,,,
,,,,,,,pipe_rx10_rec_ovrd_8b10b_uoflow,14:13,RW,0x0,,,
,,,,,,,pipe_rx10_rec_ovrd_8b10b_decerr,12:11,RW,0x0,,,
,,,,,,,pipe_rx10_rec_ovrd_en,10,RW,0x0,,,
,,,,,,,pipe_rx9_eq_training,9,RW,0x0,,,
,,,,,,,pipe_rx9_rec_ovrd_non8b10b_uoflow,8:7,RW,0x0,,,
,,,,,,,pipe_rx9_rec_ovrd_non8b10b_decerr,6:5,RW,0x0,,,
,,,,,,,pipe_rx9_rec_ovrd_8b10b_uoflow,4:3,RW,0x0,,,
,,,,,,,pipe_rx9_rec_ovrd_8b10b_decerr,2:1,RW,0x0,,,
,,,,,,,pipe_rx9_rec_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_104,0x1a0,RW,,,,,,,,,
,,,,,,,pipe_rx14_eq_training,29,RW,0x0,,,
,,,,,,,pipe_rx14_rec_ovrd_non8b10b_uoflow,28:27,RW,0x0,,,
,,,,,,,pipe_rx14_rec_ovrd_non8b10b_decerr,26:25,RW,0x0,,,
,,,,,,,pipe_rx14_rec_ovrd_8b10b_uoflow,24:23,RW,0x0,,,
,,,,,,,pipe_rx14_rec_ovrd_8b10b_decerr,22:21,RW,0x0,,,
,,,,,,,pipe_rx14_rec_ovrd_en,20,RW,0x0,,,
,,,,,,,pipe_rx13_eq_training,19,RW,0x0,,,
,,,,,,,pipe_rx13_rec_ovrd_non8b10b_uoflow,18:17,RW,0x0,,,
,,,,,,,pipe_rx13_rec_ovrd_non8b10b_decerr,16:15,RW,0x0,,,
,,,,,,,pipe_rx13_rec_ovrd_8b10b_uoflow,14:13,RW,0x0,,,
,,,,,,,pipe_rx13_rec_ovrd_8b10b_decerr,12:11,RW,0x0,,,
,,,,,,,pipe_rx13_rec_ovrd_en,10,RW,0x0,,,
,,,,,,,pipe_rx12_eq_training,9,RW,0x0,,,
,,,,,,,pipe_rx12_rec_ovrd_non8b10b_uoflow,8:7,RW,0x0,,,
,,,,,,,pipe_rx12_rec_ovrd_non8b10b_decerr,6:5,RW,0x0,,,
,,,,,,,pipe_rx12_rec_ovrd_8b10b_uoflow,4:3,RW,0x0,,,
,,,,,,,pipe_rx12_rec_ovrd_8b10b_decerr,2:1,RW,0x0,,,
,,,,,,,pipe_rx12_rec_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_105,0x1a4,RW,,,,,,,,,
,,,,,,,upcs_mpll_ssc_sync_mode,22,RW,0x0,,,
,,,,,,,max_pclk_div_ratio_esm25,21:17,RW,0x1,,,
,,,,,,,max_pclk_div_ratio_esm20,16:12,RW,0x1,,,
,,,,,,,pipe_lane_legacy_pin_mode,11,RW,0x0,,,
,,,,,,,pipe_rx_es0_cmn_refclk_mode,10,RW,0x1,,,
,,,,,,,pipe_rx15_eq_training,9,RW,0x0,,,
,,,,,,,pipe_rx15_rec_ovrd_non8b10b_uoflow,8:7,RW,0x0,,,
,,,,,,,pipe_rx15_rec_ovrd_non8b10b_decerr,6:5,RW,0x0,,,
,,,,,,,pipe_rx15_rec_ovrd_8b10b_uoflow,4:3,RW,0x0,,,
,,,,,,,pipe_rx15_rec_ovrd_8b10b_decerr,2:1,RW,0x0,,,
,,,,,,,pipe_rx15_rec_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_106,0x1a8,RW,,,,,,,,,
,,,,,,,pipe_rx15_es_mode,15,RW,0x0,,,
,,,,,,,pipe_rx14_es_mode,14,RW,0x0,,,
,,,,,,,pipe_rx13_es_mode,13,RW,0x0,,,
,,,,,,,pipe_rx12_es_mode,12,RW,0x0,,,
,,,,,,,pipe_rx11_es_mode,11,RW,0x0,,,
,,,,,,,pipe_rx10_es_mode,10,RW,0x0,,,
,,,,,,,pipe_rx9_es_mode,9,RW,0x0,,,
,,,,,,,pipe_rx8_es_mode,8,RW,0x0,,,
,,,,,,,pipe_rx7_es_mode,7,RW,0x0,,,
,,,,,,,pipe_rx6_es_mode,6,RW,0x0,,,
,,,,,,,pipe_rx5_es_mode,5,RW,0x0,,,
,,,,,,,pipe_rx4_es_mode,4,RW,0x0,,,
,,,,,,,pipe_rx3_es_mode,3,RW,0x0,,,
,,,,,,,pipe_rx2_es_mode,2,RW,0x0,,,
,,,,,,,pipe_rx1_es_mode,1,RW,0x0,,,
,,,,,,,pipe_rx0_es_mode,0,RW,0x0,,,
,,PCIEPHY_CTRL_107,0x1ac,RW,,,,,,,,,
,,,,,,,protocol_ext_mpllb_recal_bank_sel_ovrd_en,6,RW,0x0,,,
,,,,,,,protocol_ext_mpllb_recal_bank_sel,5:4,RW,0x0,,,
,,,,,,,protocol_ext_mplla_recal_bank_sel_ovrd_en,3,RW,0x0,,,
,,,,,,,protocol_ext_mplla_recal_bank_sel,2:1,RW,0x0,,,
,,,,,,,phy_ext_ctrl_sel,0,RW,0x0,,,
,,PCIEPHY_CTRL_108,0x1b0,RW,,,,,,,,,
,,,,,,,protocol_ext_phy0_mplla_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mplla_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_109,0x1b4,RW,,,,,,,,,
,,,,,,,protocol_ext_phy0_mpllb_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mpllb_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_110,0x1b8,RW,,,,,,,,,
,,,,,,,protocol_ext_phy1_mplla_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mplla_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_111,0x1bc,RW,,,,,,,,,
,,,,,,,protocol_ext_phy1_mpllb_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mpllb_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_112,0x1c0,RW,,,,,,,,,
,,,,,,,protocol_ext_phy2_mplla_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mplla_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_113,0x1c4,RW,,,,,,,,,
,,,,,,,protocol_ext_phy2_mpllb_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mpllb_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_114,0x1c8,RW,,,,,,,,,
,,,,,,,protocol_ext_phy3_mplla_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy3_mplla_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_115,0x1cc,RW,,,,,,,,,
,,,,,,,protocol_ext_phy3_mpllb_bw_low,31:16,RW,0x0,,,
,,,,,,,protocol_ext_phy3_mpllb_bw_high,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_116,0x1d0,RW,,,,,,,,,
,,,,,,,protocol_ext_phy1_mpllb_bw_threshold,31:24,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mplla_bw_threshold,23:16,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mpllb_bw_threshold,15:8,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mplla_bw_threshold,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_117,0x1d4,RW,,,,,,,,,
,,,,,,,protocol_ext_phy3_mpllb_bw_threshold,31:24,RW,0x0,,,
,,,,,,,protocol_ext_phy3_mplla_bw_threshold,23:16,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mpllb_bw_threshold,15:8,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mplla_bw_threshold,7:0,RW,0x0,,,
,,PCIEPHY_CTRL_118,0x1d8,RW,,,,,,,,,
,,,,,,,protocol_ext_phy3_mpllb_tx_clk_div,31:28,RW,0x0,,,
,,,,,,,protocol_ext_phy3_mplla_tx_clk_div,27:24,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mpllb_tx_clk_div,23:20,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mplla_tx_clk_div,19:16,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mpllb_tx_clk_div,15:12,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mplla_tx_clk_div,11:8,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mpllb_tx_clk_div,7:4,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mplla_tx_clk_div,3:0,RW,0x0,,,
,,PCIEPHY_CTRL_119,0x1dc,RW,,,,,,,,,
,,,,,,,protocol_ext_tx_ropll_postdiv_ovrd_en,26:11,RW,0x0,,,
,,,,,,,protocol_ext_tx_ropll_ovrd_en,10,RW,0x0,,,
,,,,,,,protocol_ext_rx_misc_ovrd_en,9,RW,0x0,,,
,,,,,,,protocol_ext_rx_eq_afe_ovrd_en,8,RW,0x0,,,
,,,,,,,protocol_ext_phy3_mpllb_tx_clk_div_ovrd_en,7,RW,0x0,,,
,,,,,,,protocol_ext_phy3_mplla_tx_clk_div_ovrd_en,6,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mpllb_tx_clk_div_ovrd_en,5,RW,0x0,,,
,,,,,,,protocol_ext_phy2_mplla_tx_clk_div_ovrd_en,4,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mpllb_tx_clk_div_ovrd_en,3,RW,0x0,,,
,,,,,,,protocol_ext_phy1_mplla_tx_clk_div_ovrd_en,2,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mpllb_tx_clk_div_ovrd_en,1,RW,0x0,,,
,,,,,,,protocol_ext_phy0_mplla_tx_clk_div_ovrd_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_120,0x1e0,RW,,,,,,,,,
,,,,,,,protocol_ext_tx_ropll_word_clk_div_sel_ovrd_en,31:16,RW,0x0,,,
,,,,,,,protocol_ext_tx_ropll_refdiv_ovrd_en,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_121,0x1e4,RW,,,,,,,,,
,,,,,,,protocol0_ext_mplla_word_clk_div,31:30,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_multiplier,29:18,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_frac_en,17,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_frac_den,16:1,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_fb_clk_div4_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_122,0x1e8,RW,,,,,,,,,
,,,,,,,protocol0_ext_mplla_frac_rem,31:16,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_frac_quot,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_123,0x1ec,RW,,,,,,,,,
,,,,,,,protocol0_ext_mplla_ssc_peak,31:12,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_multiplier,11:0,RW,0x0,,,
,,PCIEPHY_CTRL_124,0x1f0,RW,,,,,,,,,
,,,,,,,protocol0_ext_mplla_ssc_up_spread,21,RW,0x0,,,
,,,,,,,protocol0_ext_mplla_ssc_step_size,20:0,RW,0x0,,,
,,PCIEPHY_CTRL_125,0x1f4,RW,,,,,,,,,
,,,,,,,protocol0_ext_mpllb_word_clk_div,31:30,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_multiplier,29:18,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_frac_en,17,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_frac_den,16:1,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_fb_clk_div4_en,0,RW,0x0,,,
,,PCIEPHY_CTRL_126,0x1f8,RW,,,,,,,,,
,,,,,,,protocol0_ext_mpllb_frac_rem,31:16,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_frac_quot,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_127,0x1fc,RW,,,,,,,,,
,,,,,,,protocol0_ext_mpllb_ssc_peak,31:12,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_multiplier,11:0,RW,0x0,,,
,,PCIEPHY_CTRL_128,0x200,RW,,,,,,,,,
,,,,,,,protocol0_ext_mpllb_ssc_up_spread,21,RW,0x0,,,
,,,,,,,protocol0_ext_mpllb_ssc_step_size,20:0,RW,0x0,,,
,,PCIEPHY_CTRL_129,0x204,RW,,,,,,,,,
,,,,,,,protocol0_ext_ref_clk_mpllb_div,5:3,RW,0x0,,,
,,,,,,,protocol0_ext_ref_clk_mplla_div,2:0,RW,0x0,,,
,,PCIEPHY_CTRL_130,0x208,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g1_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_131,0x20c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g2_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_132,0x210,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g3_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_133,0x214,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g4_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_134,0x218,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g5_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_135,0x21c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g2_47_32,31:16,RW,0x0,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g1_47_32,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_136,0x220,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g4_47_32,31:16,RW,0x0,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g3_47_32,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_137,0x224,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_mode_g5_47_32,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_138,0x228,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_sel_piperate0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_139,0x22c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_sel_piperate1,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_140,0x230,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_sel_piperate2,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_141,0x234,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_sel_piperate3,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_142,0x238,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_adapt_sel_piperate4,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_143,0x23c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g1_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_144,0x240,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g1_63_32,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_145,0x244,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g2_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_146,0x248,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g2_63_32,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_147,0x24c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g3_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_148,0x250,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g3_63_32,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_149,0x254,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g4_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_150,0x258,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g4_63_32,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_151,0x25c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g5_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_152,0x260,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g5_63_32,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_153,0x264,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g2_79_64,15:0,RW,0x0,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g1_79_64,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_154,0x268,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g4_79_64,15:0,RW,0x0,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g3_79_64,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_155,0x26c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_ppm_max_g5_79_64,15:0,RW,0x0,,,
,,PCIEPHY_CTRL_156,0x270,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_vco_config_g1_31_0,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_157,0x274,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_vco_config_g1_63_32,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_158,0x278,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_vco_config_g1_95_64,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_159,0x27c,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_vco_config_g1_127_96,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_160,0x280,RW,,,,,,,,,
,,,,,,,protocol0_ext_rx_cdr_vco_config_g1_159_128,31:0,RW,0x0,,,
,,PCIEPHY_CTRL_161,0x284,RW,,,,,,,,,
